Sentimen	Comment
0	Semoga ustadz selalu sht
0	di dunia kita tk bsa ketemu.di ahirat
1	Assalammualaikum wrwb Bismillah Alhamdulillah hadir menyimak trmksh Ustadz Abdul Somad... Atas ilmunya yg sngat 2 bermanfaat bagi Ummat.... Smg Ustadz sehat selalu dan Berkah usianya
1	Assalamu'alaikum pak ustadz.. Smlm saya bermimpi ketemu pak ustdz. Seneng bgt.
1	Barokahallah tuan guru UAS smg sllu dlm lindungan Allah SWT Aamiin
0	Alhamdulillah !
0	Alhamdulillah barokah ulama Gus baha
1	Assalamu'alaykum. Cuma syetan dan komunis yg panas resah mndengar da'wah.Sehat" selalu dan dimudahkan segala urusan beliau.Aamiin.
0	Subhanallah...semoga ustadz sehat, selamat, bahagia dunia dan akhirat, Aamiin Allahumma Aamiinn
0	Masya Allah tabarakallah ustadz
0	Assalamualaikum...sehat terus ya pak ustadz
0	masya Allah
0	Alhamdulillah ya ALLAH
0	Alhamdulillah hadir selalu uas
0	Ya allah...semoga ulama2 trus hadir untuk kmi ya allah
0	Sehat terus ustad
0	Semoga saya bisa jadi org yg selalu merendah dan hilangkan sifat sombong
0	Subhanalloh Alloh suka hambah yang merendahkan diri
0	nyimak pak ustadz mugi"angsal barokahe aamiin yrb
1	Assalamualaikum warohmatullahi wabarokatuh , semoga Ustadz Abdul Somad sehat selalu Dan panjang umur , Dan tetap dilindungibAllqh apapun heates anda ""berkicau"" tanpa heaters perjuqngan anda dalam menegak kqn qgama islÃƒÆ’Ã‚ m kurang sempurna tapi dengan adanya heaters Maka perjungan anda menjadi lebih sempurna , jadi hidup anda penuh warna warni
0	Assalamualaikum Tuan Guru ..
0	Klu Tahu... Allah Suka Orang yg Merendahkan Diri...
0	Wa alaikum salam wa rahmatullahi wa barakatuh...
1	Allohu Akbar tabarokalloh ilmu yg di paparkan UAS itu mudah2an melekat pd hati dan bertambah kuat keimanan kami ya ALLAH
0	sht sllu tuan guruh ustadz abdul somad
0	Alhamdulillah barokah ulama Abdul Somad
1	Alhamdulillah usd SOMAD mengingatkan tentang SHOLAT kembali
0	Masya Allah Tabarakallah,tuanguru ustad Abdul Somad dan kelg semoga selalu dilindungi Allah Swt sehat selalu dipanjangkan umurnya,aamiin
0	MasyaAllah Tabarakallah
1	Ngegosok sambil dengar tausiah UAS tak terasa ga cape dapat ilmunya lgi terima kasih UAS. semoga sht tuan guru semoga tambah mulia aamiiiin
1	Syukur alhamdulilah B's dengar uas ceramah
0	Assalamualaikum
0	Semoga sehat selalu ustaz
1	Alhamdulillah bisa dengar lagi ceramah UAS
0	Alhamdulillah masya allah tabarokallah
0	Alhamdulillah masya Allah Tabarokallah sehat slalu tuan guru
0	panjang umur ustadz
0	Barakallah tabarakallah Ã‚Â¸Ã‚Â
0	Hadir Ustadz
0	Semoga sehat selalu tuan guru
1	subhanallaah semoga tuan guru uas selalumendapat ridoo alloh amiiin juga kluarganya sahabatnya uas selalu dilindungi allah amiin amiiin amiiin
0	Sehat selalu ustadzku
0	Alhamdulillah
1	terhibur pless ilmu yang sangat bermanfaat
0	janganlah merendahkan diri yg haru dilakukan manusia itu harus rendah hati bukan rendah diri (Tawadhu).
1	Subhanallah ... UAS semoga panjang umur , hingga anak cucu kami bisa menerima ceramah nya UAS yg sangat di mengerti , msk dlm hati , tdk membosankan , rasa hati ini menjadi senang
1	Alkhamdulillah ,selalu bahagia tersenyum tertawa seneng klo denger ustad ceramah bikin hati gembira.
0	Assalamu'alaikum pak ustadz, semoga selalu dlm lindungan Allah SWT
1	Subhanallah. Terimah kasi hdgn ilmunya
1	Alhamdulillah tabarakaullah senang nya mendengar tausyiah ustadz kita abdul somad, sehat selalu buat ustadz .. Terus menyebarkan agama Allah Ta'ala hingga ke pelosok nusantara
1	Sangat bermafaat
0	Ya Allah semoga UAS di beri ke nikmatan da wah
1	Ya Allah lindungilah UAS ...berkahilah Beliau jadikan UAS Istiqomah dalam membela AgamaMu ya Allah jadikan kami juga Istiqomah ya Allah
0	Masya ALLAH
0	Semoga ustadz Abdul Shomad beserta keluarga selalu dalam lindungan Allah SWT aamiin
1	Wa'alaikumsalam warahmatullahi wabarakatuh, MasyaAllah Tabarakallah semoga Ustadz Abdul Somad selalu sehat terus menerus beserta keluarga nya dan bersemangat berdakwah Atas Ridha ALLAH SWT dan selalu dpt lindungan ALLAH Aamiin Ya ALLAH Ya Rabbal Alamin Ã¢â‚¬â„¢Ã¢â‚¬â€œ Ã¢â‚¬â„¢Ã¢â‚¬â€œ Ã¢â‚¬â„¢Ã¢â‚¬â€œ Ã¢â‚¬ËœÃ‚Â
0	Assalammualaikum wbt tuan guru alhamdulillah amiin2
1	Semoga ustad panjang umur sll memberiÃƒâ€žÃ‚Â·an ceramah pada umat islam diseluruh peloksok negri ini amiin yra
0	Alhamdulillah masih bisa nyimak uas
0	Astapirrullaahh jaukanlah yg buruk itu dari Ku ?
0	Jika seorang anak perempuan memiliki ayah yg tak sholat dan tak pernah mengajarinya ilmu agama, tpi seiring bertumbuhnya anak perempuan itu dia memperoleh ilmu agama dari sekolah dan dari media, terkadang ia rajin sholat namun terkadang dia jarang sholat apalagi kalo berada di rumah dia sangat malas untuk sholat karna anggota keluarga tidak ada yg sholat. Bagaimana caranya agar anak perempuan ini bisa Istiqomah dalam beribadah?
1	Aslmkum ustadz seneng bnget dngr ceramah2 ustdz Ã‚Â
1	Alhamdulillah ya alloh dapet ilmu bgitu byk hal solat massa alloh terima Kasih pa ustadz abdul somad. Smg sy bisa. Bimbing sy ya alloh dijln mu yg alloh ridhoi
1	Lanjutkan pak UAS untuk. Menyebarkan. Dakwah islam demi umat.
0	Masyallah Ã‚Â
1	Alhamdulillahi robbil aalamiin. Terima kasih ilmu nya Ustadz Abdul Somad. Semoga Allah mudah kan dlm mengamalkan nya ... Aamiin allahumma aamiin. ( medan).
0	Allahuakbar ustadz Abdul Shomad Ã‚Â Ã‚Â Ã‚Â semoga selalu dalam lindungan Allah SWT, diberi kesehatan Aamiin
0	Y Allah lindugi ustadz kami yg ada di seluruh muka bumi mu y Allah Aamiin yrob
0	Sehat selalu ustad
0	Halo... Yang terhomat ustad Somat... Nama saya budi. Saya langsung aja keintinya aja.pada satu malam saya tidur kira2 jam 2 subuh saya terbangun dengan bisikan seseorang Dengan salah satu bacaan ayat suci dan saya merasa sangat bahagia serta semua beban masalah hilang. Sampai terbangun suaranya masih bergaum di telinga. Tapi saya ga tau isi ayat sucinya yang mana yang bisa buat saya bahagia sampai nangis. Jadi pertanyaan saya adalah adakah ayat suci yang bisa buat orang bahagia??? Apakah Suara bisikan itu dari malaikat??? Mohon pencerahannya pak ustad. Terima kasih...
0	Sehat sellalu pak ustad..
0	Aslamualikum PA ustadz Taiwan hadir... Hari ini, sabtu - 1-1-2022 semoga kita semuanya istiqomah sampe Kiamat, di jalan yg di Ridoi Allah SWT..Aaammiinnn YA Robal Alamin
1	Semoga uas selalu dlm lindungan Allah.swt. ilmunya sangat bermanfaat
1	Alhamdulillah... Hatur nuhun UAS ilmunya, ttg Shalat. Semoga Ustadz selalu dilindungi Allah Swt dari musuh2 Allah Swt. Kapan ke Bandung lagi? Diantos pisan. Hatur nuhun. Salam dari Bandung.
1	Massa allah tabarakallah mudah2an guru kita ada dalam lindungan allah sbwt dan keluarganya juga kita semua aamiin
0	Ya Allah hamba ingin ridhoMu melalui ceramah UAS ini,berilah hidayahMu ya Allah menyimak 01-01-2022
0	Assalamualaiykum.ustad.somad.semuga.sehat.walafiyet.
0	Assalamu'alaikum wr wb ust..smoga ust UAS sllu dlm lindungan Allah SWT amin 3x
0	Subhanallah Ã¢â‚¬ËœÃ‚Â
1	Allahuakbar.habis sholat magrib langsung buka yuotube lihat dan mndengar tuan guru uas semoga sya bisa ambil ilmu yg d ajarkn oleh uas.semoga uas dlm lindungn allah swt.dan selalu sehat aamiin.
1	Kadang kadang ceramah UAS saya senyum sendiri ya Allah dah berulang kali mendengar UAS tetap menyimak dan antusias ...bahagianya bila mendengar langsung ceramah beliau
0	Subhanallah semoga tuan guru ustad abdolsomad LC MA dan kluarganya sahabatnya selalu di linddungi Allaah Amiin amiin amiin
1	Ustdz idolaq yg pintr cerdas baik hti rendah htu syg sm yg muda hormat sm tua..ustdz shomad ceramhx seperti ulma madura ada canda2x yg tk buat mata ngatuk..trima ksh ustdz sdh menyebut madura di aceh darussalam..betul ustdz klo d madura ada ank cwek rok pendik dn ank cowok pkek clana pendek d tkut2ti dgn celurit bru ank itu gnti rik pnjng..semuga ustdz sellu dlm lindungn allahamiinn
1	Subhanallah semoga tuan guru ustad abdolsomad LC MA semoga mendapat perlindungan dari Allah SWT juga panjang umur sehat selalu dan selalu istiqomah amiin amiin amiin
1	Mantap ustad lanjutkan dakwah
0	Alhamdulillah
0	Alhamdulillah sehat 2 tuan guru
0	Sehat selalu tuan guru UAS,selalu dlm lindungn ALLAH..
0	Assalamualaikum tuan guru aku dari Jakarta aku ingin sekali berjumpa dengan tuan guru semoga Allah mempertemu kan kita semua amin ya Allah
1	Terima kasih Ustadz ceramahnya sangat bermanfaat dan tak bosan2 sy mendengar karena selalu di selingi dgn canda yg masuk akal, semoga Ustadz Abdul Somad sehat selalu dan selalu dalam lindungan Allah SWT, Aamiin
1	Pas mantap semoga semakin rajin untuk mendirikan sholat
1	Kami sangat bangga sebagai orang Madura di sebut di nangru Aceh Darussalam dmana di tempat itu ak sangat menyukai tentang peraturan di Aceh yg tidak memamerkan aurat ny antara kaki 2 dan perempuan ..buat ustad idolaku semuga sekeluarga sehat dan panjang umur
1	Alhamdulilah mudahan ustad sonad oanjang umur sehat badan biar kita terus mendengar ceramah nya amin
0	subhanallaah semoga tuan guru uas selalumendapat ridoo alloh amiiin juga kluarganya sahabatnya uas selalu dilindungi allah amiin panjang umurnya selalu sehat aamiin aamiin amiiin amiiin
0	Astagfirullah mudahan dosa 2kita diampuni allah dan berkah berkat bershollawat mendengarkan tausyiah uas aa
1	Tul tad, bersembunyilah di tempat terang karena Allah SWT cinta terhadap mutawadiin...
0	Alhamdulillah...sehat sll ustad Ã¢â‚¬ËœÃ‚Â Ã¢â‚¬ËœÃ‚Â Ã¢â‚¬ËœÃ‚Â
1	sukses selalu ustatd
0	Assalamualaikum pk ustd
0	Setia menyimak ustadz
1	Syukron ustadz .sehat selalu
0	Sehat selalu tuan guru
1	ORANG YANG TELAH BISA MEMPRATEKAN RENDAH HATI, INILAH DASAR DARI ORANG BERIMAN YANG ISTIQOMAH UNTUK MENDAPAT KASIH SAYANG ALLOH.
0	usaha dan kerja keras sendiri alhamdulillah
0	Amin amin anak saya. Sebagai anak yatim semoga saya dan anak saya menjadikeluarga usnul khotimah dalamagama dan kami semoga bisa mengajarkan. Atau membingbing anak dijalan allah semoga aku diberikesabaran dalam menghadapi titipan anak yatim banyak godaan dancobaannya masa allah
0	semoga sehat sllu ustd
1	Trima kasih atas segala penceramahanya muda? an saya bisa melaksanakan ya dg iklas amin.
0	Bismillahirrahmanirrahim
0	Moga sehat selalu ustadz
0	Sehat selalu pak ustat
0	Alhamdulillah
0	Walaikumsalam Tuwan guru Abdul Somad LC MA
0	Alhamdulillah slalu bsa nyimak shat trus tuan guru jordan hadir
1	Hadir tuan guru ustad abdulsomad Mulana noralsakinah hadiroh. Kemarin kemarin nya saya jarang mendengarkan. Tausiyah karna sibuk pekerjaan rumah tak bisa kemana mana selain. Dirumah sedang sibuk sibuknya semoga. Aku ditemani dengan iman. Bisa menjaga martabat ya allah bingbinglah. Aku dijalan kebenaran
1	Pengen tau itu nada adzan apa yaa merdu banget:(
0	Sehast sll ustaz panjang umur.
0	Waalaikumsalam Warahmatullahi Wabarakatuh
0	Aslamulaikum pa ustadz Taiwan hadir... hari ini Senin tanggal 3-12022 SDH 2, 38 JT subscribe.. Alhamdulillah...
0	Alhamdulillah,nyimak selalu semoga berkah
0	Allahumma sholli alasyaidina Muhammad sehat selalu pak ustadz
1	Saya walaupun sekarang jarang dengar tausiyah ustad tapi saya sering tausiyahan dimesjid mesjid bersama keluarga saudara kadang. Dimesjid sendiri mesjid Jamie alpurkon purwakarta wasalamualaikomkeluarga Mulana noralsakinah waa Muhammad purqon
1	aku suka banget denger ceramah ustad
0	Alhamdulillah.
0	Aamn yaa rabbal Al-Amin panjang. Mur sehat selalu aamnyrbmn
0	Waalaikm slm wrwb slmt siang
0	Assalamualaikum ustadz , apabila ada yang meninggalkan sholat dengan sengaja ,tapi sholat tersebut di ganti lagi di lain waktu, apakah itu tetap kafir , terimakasih kasih ustadz ,semoga di baca
0	Sehast sll ustaz panjang umur.
0	Waalaikumsalam Warahmatullahi Wabarakatuh
0	Hongkong hadir menyimak Ustadz kesayangan
0	Allahumma sholli Alaa sayyidina Muhammad wa Alaa Ali sayyidina Muhammad
0	Assalamualaikum Wr Wb,,,admin Ustadz Tile dari Bekasi hadir
0	Lebih...baik pilih kitab Al-Quran dn setia kepada Allah,ussdt itu lebih mulia di hadapan Allah saya tidak meminta apapun itu yg peting saya bisa memberi sesautu yg sempurna Di dunia ini dn tugas Allah, Amin ingsallah pasti Allah memberi sesautu yg saat indah Di hadapan kitab Al-Quran ini...
0	Sht sll tuan ayeckh kyai UAS . ...... sll anak anak dn cucu dn cicit ku......alim spert ilmu y UAS...
0	Benar allab suka hamba yg rendah diri
0	Alhamdulillah Allah Akbar
0	Masya Allah tabarakallah
0	Alhamdulilah allahhuakbar allahhuakbar allahhuakbar ampunkan mueeza maazah maafkan teman tetamu ALLAH swt hijjrah bertawaduk jiwaku my Ã‚Â¸Ã‚Â
0	ALHAMDULILLAH
0	Asallamualaikum pa ustad saya orang baru yang memgikuti pa us tad
0	Yaa allah kapan saya bisa bertemu dengak bapak ustas abdul somad..
0	Probolinggo hadir ,Uas mudahan sehat selalu
0	Assalamualaikum ustad smg aku bisa ktm lagsg dgn ustad.. Aminn tiao hari saya cm bisa lihat d YouTube sng bisa ikut pengajian lgsg
0	Alhamdulilah
0	Wa'alaikumussalam Warahmatullahi Wabaroktuh
0	Allahuakbar
0	Brebes jawa Tengah Hadir Pak Ustad
0	Alhamdulillah.Aamiin...yarabbal a'lamiin
0	Asalamualaikum Ust moga sehat
0	Insallah ustad uas spnjng kan umur nya sllu sht ustad uas
0	Alhamdulillah,Allahumma soli ala muhammad
0	Assalamualaikum ustadz Banjarmasin hadir..
0	Smoga anak cucu cicit ku alim ilmu spert Uas.......
0	Brebes jawa Tengah Hadir Ppl Ustad
0	Wa'alaykumussalam wr wb...tuan guru...allahumma solli'ala sayyidina muhammad,wa'ala'ali sayyidina muhammad saw.smg tuan guru skluarga & pr jemaah yng mahabbah kpd bliou krna allah,dbrikn keslametan & kesuksesan piddunia wal'akhert nya,aamiin aamiin aamiin allahumma aamiin
0	Assalamualaikum pak ustadz saya minta doanya sekeluarga amin
0	Salam dari aceh ustad..
0	Pak usatd bagaimana jika kita merendahkan fisik orang apakah Allah memaafkan atau tidak pak?
0	Masaallh subhanallh
0	Ya allah semoga awak batomo jo ustadz abdul somad di masjid raya dangung.dangung
0	Mari introspeksi diri merendahkan diri setelah di tolak masuk di negara ke 5 ya yg mulia UAS
0	Assalamualaikum, dsni ada GK yaa yg punya grob kajian GK yaaa boleh gabung yaaa buat belajar Ã‚Â
0	Assalamualaikum warahmatullahi wabarakatuh.
0	Hongkong hdr ustad abdul somat
0	Alhamdulilah...
1	Terima kasih ustad
0	Ustadz hati saya sedih ustad ker na sebahagian keluarga saya belum mau syolat ya alloh bukakanlah pintu hidayahmu dan ridomu ya alloh aminn terimakasih
0	la ila ha illahlah pagi dan petang nabi muhammad saw dan nabi sulaiman as
0	Assalamualaikum warahmatullahiwabarakatu..ustad bagaimana menghadapi suami yg keras hatinya tdk maw menerima nasihat tentang agama
0	lAmiinn ya Allah Ã¢â‚¬ËœÃ‚Â
0	Subhannallah..
0	Tuan guruku
0	Orang yang rendah hati pasti disayang tuhan.mau rendah diri,tengkurap aja ditanah pasti sangat rendah.
0	Bapak Ustadz Abdul Somad saya mau bertanya kenapa setiap saya pindah kontrakan dengan keluarga kecil saya selalu ada orang yang mengganggu air yang saya gunakan.saya selalu di jadikan pelampiasan kejahilan mereka.mereka merasa kuasa terhadap air yang saya gunakan.air kan penting.semua orang membutuhkan air apalagi untuk melaksanakan ibadah.
1	Assalamualaikum sagat bagus pa ustad saya selalu degerin pa ustadz tosihah jdi hati saya adem tp saya boleh nqga bertanya pa ustadz
0	Shat sllu UAS...
0	Allahuma sholli alla Muhammad Wa'alla ali Sayidinna Muhammad Ã¢â‚¬â„¢ Ã¢â‚¬â„¢ Ã¢â‚¬â„¢ Ã¢â‚¬â„¢ Ã¢â‚¬â„¢
0	Aamiin.
0	Salam Kenal Pak Ustad Dari Brebes Jawa Tengah
0	Maa syaa Allah
0	Allahuakbar
1	Makasi ustaz menga jari ilmu sehqt selala ustaz
0	Buat smp ketingkat itu susah bgt.. apalg klo ngadepin org yg blagu sombong rendahin kita..
0	Assalamualaikum..ya ustad..sya mau brtanya apa hukumnya jika setelah sholat kita langsung jalan pergi tidak meminta SMA Allah..mohon pak ustad jawabannya..
0	Masya Allah tarrabakallah uztads.
0	MashaAlloh, laquwwata Illa billah
0	Trimakasih ustadz ,peringatannya.
0	pesawat garuda indonesia kelas bisnis 5 kursi untuk 5 orang hamba allah swt
0	MasyÃƒÆ’Ã‚ a Allah TabarakAllah.
0	ko rendah diri, rendah hati Tadz
0	Assalamu alaikum ustat hamba alloh yg di jombang mau tanya orang tua saya beragama nasrani udah meninggal ustat ,sedangkan saya beragama islam baru belajar gimana ustat cara mengirim doa untuk orang tua says yg beragama nasrani ,mohon petunjuknya ustat
1	Asalam.allaikum .ostat saya suka ceramah ostat tu ..baik ostat
0	Alqamdulillah
0	Waallaikum salam wr wb Aamiiiiiinn Ya Roballamiiin
0	Tabarokalloh ustd.
0	Gimana ya kalau mau tanya jawab sama ustad abdul somad,, tolong infonya
0	Tuan guru idolaku
0	Assalamualaikum Tuan Guru kami
0	Ustadz, ketika Allah di hina, tak ada suara mereka yg terdengar, tp giliran sesajen di tendang mereka kepanasan, golongan manakah mereka ya ustadz....?
0	ALLAHU AKBAR
0	Assalamu'alaikum pak ustad. saya mau bertanya apabila saya ketinggalan sholat isya satu roka'at boleh gak saya baca do'a iftitah waktu imam baca surat al fatihah di roka'at yang ke dua.wassalamu'alaikum
1	Menit2 terakhir cermah terbaik
0	Salam dr Aceh Utara
0	Maa syaa ALLAH tabarakallah
0	Asalamuala Ikum waroh matullohi wabarokatuh
0	Amiinn yrbl...
1	Cinta Kami UTK para ulama
0	assalamualaikum
0	Trima kasih ustaz....
0	wa'alaikumsalam warahmatullahi wabarakatuh
1	Terima kasih pencerahannya pak ustadz.ijin upload video pendeknya.
0	Amin
-1	Bisa ga kalau kita lg mendengarkan tausiah itu harus focus menyimak bukan sibuk pegang hp dan merekamnya.
0	Allohu Akbar.
0	Barakallah
0	Amiin
0	Waalaikumslm wr wb
0	Pak ustad kelaurga temanku menghina aku. Mereka bilang aku pesek padahal kita sama sama Islam. Apakah Allah aka memafkan mereka atau tidak ?
0	remaja mesjid ke satu masjid shohibbul jannah km.2 jalan diponegoro riau
0	imam di waktu shalat isya dan remaja mesjid ke 5 riau indonesia
0	Subhanaallah
0	Rendah Hati mungkin . Tidak utk Rendah diri
0	Mantapz
0	Allhamdulillah
0	Wa alaikum Salam Pak Ustad
0	Assalamualaikum ustadz
0	Pak ustazd bagai mana dgn ulama yg ditangkapi,padahal mereka habaib,tapi banyak juga ulama yg diam cari Aman.
0	asslamualaikum ustat
0	Hambanya yg merendakan diri dihina sama orang rajin dan taat agama yg pandai bersilat lidah merangkai kata kata apa yg harus dilakukan?????
-1	Habib BAHAR TDK mau di jemput TNI,
0	Ustad sy nak bertanya kenapa masa kita tahyat akhir kenapa harus telunjuk kita harus menunjuk athayatullÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦.
0	Barakallah
0	Sholawat
0	Asalamualaikum wrwb Gresik hadir nyimak
1	Ceramah ustadz sidiq, dan ustadz fatanah
0	Hadir ustadz
0	Saya ikut menyimak..nuhun.
0	Ass.kum ustadz... saya ada pertanyaan. bilakah hukum sumbang mahram terjadi dan dri nabi siapa??
-1	Tp kenyataan nya banyak koq yg membangga dn menyombongkan dirinya trutama ulama2 zmn now
0	MaAhaa Allah UAS sht sllu Aamiin
-1	juru bicara instagram indonesia
-1	Boleh mencuri listrik dan air.. Alhamdulillah...
-1	Beginian cara untuk bermimpi bertemu dengan Rasulullah Saw secepat mungkin.
-1	aku sudah punya malaikat rakib laki-laki dan atid perempuan indonesia
0	Ustadddd q punya suami stiap lebaran idul fitri q mau pulng kampung kumpul orang tua kumpul kluarga tidak diizinkan pulng kampung dengan alasan korona apakah q menjadi istri durhaka kalo q nekad pulng tnpa izin suamiku...apakah q harus nuruti suami nunggu orng tua mninggal baru dapat izin dari suami
0	Allahu Akbar ,Allahu Akbar
0	Assalamualaikum pak ustadz,,,,klau saya pingin bisa tik tok pk ustadz tp GK bisa-bisanya cmk ngjrin ank brsholwat doank,,,tp pingin kaya yg lain,,,
0	Maaf siapapun yg ada wa nya ustad Somad minta dong
0	Ganteng kali Tuan Guru
0	Alhamdulillah bisa ngajj
1	Pas mantap
0	Rumiyin /dahulu diberi bayar sbg rasa curahan doa pangestu ingkang sinuwun, sebulan rp 6665 kagem pangkat bekel anem,, ..barokah ipun panci ageng
0	Pa ustad setiap solat mau husu susah sekali gimana caranya
0	Hadir
0	Assalammualaikum yg dirumah jg. Dong ustaz
0	Mantab
0	Somad.
-1	belum pernah ntah apa apa bung yang penting kuliah kerja nyata riau
-1	tidak orang miskin dan tidak anak yatim piayu indonesia
-1	kenapa doanya gak sampai selesai, mlah dipotong
0	Alhamdulillaah.temanya bagus.tapi knapa pencramah sebagian ustad atao habeb.cramahnya mencacimaki.itu ulamak atao bukan
-1	pelan pelan asla kau bahagia riau
0	Rendah hati apa rendah diri ya?
0	Itu apa adaya kalo abdi dalem.nggak mengharapkn bayaran tulus pengabdian , cman sekarang emang wontn,, tapi itu bukan jadi tujuan utama beliau mengabdi...gihhh to ki roko
-1	malas doen nya penakut menjadi khatib shalat fardu jum'at
-1	Enak lu ya somat dpt bini baru umur 19 tahun ,keren sih
0	Assalamualaikum wrb. Utd sya.mau nanya . Saya jual tnah warisan. Untuk bli tnh f smpg rmh. Apakah sya hrs tnya ma istri. Klau ngasi mama saya. Trims utd.
-1	ukm ukmi bisa juga kokk bawa tongkat nabi musa as bukan cuma ukm pramuka upp
-1	Tapi Knapa kalah Pilpres kau marah2 terus...
0	UAS bilang bhw orang yg rendah hati dan merendahkan
-1	2,39 juta yg komen hanya brpa ratus aja kmna semua umat islam
-1	Saya tu sring di kata dukun krn seneng tosan aji,, sante
-1	Klo merendahkan orang lain agama lain negara lain?
0	Assalamu'alaikum nyimak
-1	Kan lebih bagus di doakn, dari pada tumpukan lembaran uang yg bayak tapi tak ada iringan doa nipun....mit sewu njihhh ..maaf bila kliru,, lancang nuwunnn
-1	ceo indonesia dan presiden facebook riau
0	Alhamdulilah tkaseh
0	bari kua kota pasir pengaraian dan syamza kua kota ujung batu
-1	sdm=sumber daya manusia riau ntah ngapo jelas semseter 12 reguler tak sopan
-1	Berbanding terbalik dengan apa yg di sampai kan
-1	kiamat dan malaikat peniup sangkakala bernama malaikat israfil negara indoneisa
-1	Klo jelek2in orang dan menghina .....boleh ga ?, dlm ceramah lagi....(ke Rina nose), judulnya mulia tp prakteknya ???
